time_tag,flux,data_type
2025-05-14 06:35:00+00:00,1.3176079782795114e-08,historical
2025-05-14 06:35:00+00:00,8.534661333214899e-07,historical
2025-05-14 06:36:00+00:00,1.0554766838311025e-08,historical
2025-05-14 06:36:00+00:00,8.491156791023968e-07,historical
2025-05-14 06:37:00+00:00,1.2406186300495392e-08,historical
2025-05-14 06:37:00+00:00,8.378261213692895e-07,historical
2025-05-14 06:38:00+00:00,1.1154025258974798e-08,historical
2025-05-14 06:38:00+00:00,8.28596910196211e-07,historical
2025-05-14 06:39:00+00:00,1.1399844623838362e-08,historical
2025-05-14 06:39:00+00:00,8.207707651308738e-07,historical
2025-05-14 06:40:00+00:00,1.073533262285764e-08,historical
2025-05-14 06:40:00+00:00,8.13641975128121e-07,historical
2025-05-14 06:41:00+00:00,7.993334882883119e-09,historical
2025-05-14 06:41:00+00:00,8.141239504766418e-07,historical
2025-05-14 06:42:00+00:00,8.127952924041892e-07,historical
2025-05-14 06:42:00+00:00,8.758860303714755e-09,historical
2025-05-14 06:43:00+00:00,1.103252511569508e-08,historical
2025-05-14 06:43:00+00:00,8.113199783110758e-07,historical
2025-05-14 06:44:00+00:00,1.1001008104472021e-08,historical
2025-05-14 06:44:00+00:00,8.109052487270674e-07,historical
2025-05-14 06:45:00+00:00,1.1731270177506303e-08,historical
2025-05-14 06:45:00+00:00,8.155587352121074e-07,historical
2025-05-14 06:46:00+00:00,1.2800564164194839e-08,historical
2025-05-14 06:46:00+00:00,8.173865921889956e-07,historical
2025-05-14 06:47:00+00:00,1.3021772993226932e-08,historical
2025-05-14 06:47:00+00:00,8.18295859517093e-07,historical
2025-05-14 06:48:00+00:00,1.38463835952507e-08,historical
2025-05-14 06:48:00+00:00,8.246623224295035e-07,historical
2025-05-14 06:49:00+00:00,1.3783287400315203e-08,historical
2025-05-14 06:49:00+00:00,8.323603992721473e-07,historical
2025-05-14 06:50:00+00:00,8.349880999958259e-07,historical
2025-05-14 06:50:00+00:00,1.2292054485385506e-08,historical
