Time,Analysis_Time,Source_Location,Active_Region,Type,Speed_km_s,Half_Angle_deg,Latitude_deg,Longitude_deg
2025-05-13 10:00:00+00:00,,,,,,,,
2025-05-13 16:15:00+00:00,,N07W80,14086.0,,,,,
2025-05-13 16:23:00+00:00,,,,,,,,
2025-05-13 20:00:00+00:00,,,,,,,,
2025-05-13 21:24:00+00:00,,,,,,,,
2025-05-14 02:00:00+00:00,,,,,,,,
2025-05-14 03:48:00+00:00,,N16E65,14087.0,,,,,
2025-05-14 06:24:00+00:00,,,,,,,,
2025-05-14 07:12:00+00:00,,,,,,,,
2025-05-14 08:00:00+00:00,,N17E88,14087.0,,,,,
2025-05-14 08:48:00+00:00,,N16E64,14087.0,,,,,
2025-05-14 11:48:00+00:00,,N16E62,14087.0,,,,,
2025-05-14 15:24:00+00:00,,,,,,,,
2025-05-14 18:36:00+00:00,,N18E60,14087.0,,,,,
2025-05-15 02:24:00+00:00,,,,,,,,
2025-05-15 03:48:00+00:00,,S34E80,,,,,,
2025-05-15 16:12:00+00:00,,,,,,,,
2025-05-15 18:00:00+00:00,,N17E47,14087.0,,,,,
2025-05-15 20:24:00+00:00,,N15E45,14087.0,,,,,
2025-05-15 21:28:00+00:00,,N15W42,14087.0,,,,,
2025-05-16 04:17:00+00:00,,,,,,,,
2025-05-16 04:28:00+00:00,,S12E75,14090.0,,,,,
2025-05-16 08:24:00+00:00,,N25E50,,,,,,
2025-05-16 10:24:00+00:00,,,,,,,,
